accuracy,loss,val_accuracy,val_loss
0.2807539701461792,1.5978069305419922,0.4027777910232544,1.1786904335021973
0.5803571343421936,1.0575177669525146,0.7037037014961243,0.8243052363395691
0.6765872836112976,0.8738679885864258,0.7268518805503845,0.853286862373352
0.77182537317276,0.6859269738197327,0.8379629850387573,0.5469276309013367
0.83432537317276,0.47384995222091675,0.7731481194496155,0.5856421589851379
0.8849206566810608,0.35959839820861816,0.9027777910232544,0.3219122290611267
0.9126983880996704,0.2560088634490967,0.8888888955116272,0.3853360414505005
0.886904776096344,0.3556569218635559,0.5555555820465088,1.108522891998291
0.766865074634552,0.7628158926963806,0.8564814925193787,0.5792815089225769
0.8829365372657776,0.40935513377189636,0.9212962985038757,0.2535320520401001
0.9265872836112976,0.23167450726032257,0.9212962985038757,0.22856171429157257
0.925595223903656,0.20795494318008423,0.9444444179534912,0.17213445901870728
0.949404776096344,0.15550266206264496,0.9675925970077515,0.1289583444595337
0.9394841194152832,0.18010884523391724,0.9398148059844971,0.19800469279289246
0.9682539701461792,0.10273122787475586,0.9629629850387573,0.1528702974319458
